question,A,B,C,D,answer,reasoning
"Thay lần lượt các giá trị: 3; (-1); (-2); 1 vào biểu thức <img alt=""30 Bài tập trắc nghiệm Toán 10 Chương 3 Cánh diều có lời giải"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-tap-cuoi-chuong-3-151223.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">."," Khi x = 3 thay vào hàm số y: <img alt=""30 Bài tập trắc nghiệm Toán 10 Chương 3 Cánh diều có lời giải"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-tap-cuoi-chuong-3-151224.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">.",,,,A," Khi x = 3 thay vào hàm số y: <img alt=""30 Bài tập trắc nghiệm Toán 10 Chương 3 Cánh diều có lời giải"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-tap-cuoi-chuong-3-151224.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">."
Hiển thị đáp án,,,,D,D,Hàm số y = \frac{3x-1}{2x-2} xác định khi 2x - 2 ≠ 0 \Rightarrow 2x ≠ 2 \Rightarrow x ≠ 1. Như vậy tập xác định của hàm số là D = \mathbb{R}\{1\}
"Tập xác định của hàm số y = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><mrow><mn>3</mn><mi>x</mi><mo>−</mo><mn>1</mn></mrow><mrow><mn>2</mn><mi>x</mi><mo>−</mo><mn>2</mn></mrow></mfrac></math> là:","D = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>ℝ</mi></math>;",D = (1; 0);,D = (-∞; 1);,"D = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>ℝ</mi></math>\{1}",D,"Hàm số y = <math xmlns=""http://www.w3.org/1998/Math/MathML""><msqrt><mi>x</mi><mo>−</mo><mn>1</mn></msqrt></math> xác định khi 2x - 2 ≠ 0 <math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>⇔</mo><mn>2</mn><mi>x</mi><mo>≠</mo><mn>2</mn><mo>⇔</mo><mi>x</mi><mo>≠</mo><mn>1</mn></math><br/>Như vậy tập xác định của hàm số là D = <math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>ℝ</mi></math>\{1}"
Điểm nào sau đây thuộc đồ thị hàm số y = 4x + 1,A. (2; 3),B. (0; 1),C. (4; 5),D. (0; 0),B,"Thay x = 0; y = 1 vào hàm số ta được: 1 = 0.1 + 1 (luôn đúng). Do đó, (0; 1) thuộc đồ thị hàm số."
Điểm nào sau đây thuộc đồ thị hàm số y = 4x + 1,A. (2; 3),B. (0; 1),C. (4; 5),D. (0; 0),B,Với x ≥ 1 thì f(x) = 1/x xác định với mọi x ≥ 1. Với x < 1 thì f(x) = √(x+1). Khi đó hàm số xác định nếu x + 1 ≥ 0 ⇔ x ≥ -1. Kết hợp với điều kiện x < 1 thì f(x) = √(x+1) xác định khi -1 ≤ x < 1. Kết hợp (1) và (2) ta được f(x) xác định với mọi x ≥ -1 hay D = [-1; +∞)
Câu 5. Tìm tập xác định của hàm số y = f(x) = ,D = {-1},D = ℝ,D = [-1; +∞),D = [-1; 1),C,Với x ≥ 1 thì f(x) = 1/x xác định với mọi x ≥ 1 (1) Với x < 1 thì f(x) = √(x+1). Khi đó hàm số xác định nếu x + 1 ≥ 0 ⇔ x ≥ -1. Kết hợp với điều kiện x < 1 thì f(x) = √(x+1) xác định khi -1 ≤ x < 1 (2) Kết hợp (1) và (2) ta được f(x) xác định với mọi x ≥ -1 hay D = [-1; +∞)
"Bảng biến thiên ở dưới là bảng biến thiên của hàm số nào trong các hàm số được cho ở bốn phương án A, B, C, D sau đây?",y = 2x^2 + 2x + 2,y = 2x^2 + 2x,y = -2x^2 - 2x,y = -2x^2 - 2x + 1,D,"Bảng biến thiên có bề lõm hướng xuống nên a < 0. Do đó, loại đáp án A và B. Đỉnh của parabol có tọa độ là (-1/2; 3/2). Xét các đáp án còn lại: - Thay x = -1/2; y = 3/2 vào phương trình y = -2x^2 - 2x + 1: (Vô lý). Như vậy điểm (-1/2; 3/2) không thuộc đồ thị của hàm số. - Thay x = -1/2; y = 3/2 vào phương trình y = -2x^2 - 2x + 1: Như vậy (-1/2; 3/2) thuộc đồ thị hàm số."
Đồ thị sau đây là đồ thị của hàm số nào trong các phương án dưới đây?,y = -2x^2 + x - 1,y = -2x^2 + x + 3,y = x^2 + x + 3,y = -x^2 + 1/2x + 3,D,"Bề lõm quay xuống nên a < 0 nên loại C. Đồ thị hàm số cắt trục hoành tại hai điểm phân biệt nên loại A. Xét phương trình hoành độ giao điểm của hàm số với trục hoành ở đáp án B, ta có... Quan sát đồ thị ta thấy đồ thị hàm số không cắt trục hoành tại điểm có hoành độ bằng -1. Do đó đáp án B không phù hợp. Dùng phương pháp loại trừ, thì D là đáp án đúng."
Cho hàm số y = a*x^2 + b*x + c có đồ thị như hình sau. Khẳng định nào sau đây đúng?,"a > 0, b < 0, c < 0","a > 0, b < 0, c > 0","a > 0, b > 0, c > 0","a < 0, b < 0, c > 0",B,Bề lõm hướng lên nên a > 0. Hoành độ đỉnh parabol x = -b/2a > 0 (vì a > 0) nên b < 0. Parabol cắt trục tung tại điểm có tung độ dương nên c > 0
Cho hàm số y = ax^2 + bx + c có đồ thị như hình sau. Khẳng định nào sau đây đúng?,"a > 0, b < 0, c < 0","a > 0, b < 0, c > 0","a > 0, b > 0, c > 0","a < 0, b < 0, c > 0",D,Bề lõm hướng xuống nên a < 0. Hoành độ đỉnh parabol x = -b/2a < 0 (do a < 0) nên b < 0. Parabol cắt trục tung tại điểm có tung độ dương nên c > 0.
