question,A,B,C,D,answer,reasoning
,,,,,D,x > -x
,,,,,C,Hai tam giác đồng dạng và có một cặp cạnh tương ứng bằng nhau mới là hai tam giác bằng nhau.
"Cho các mệnh đề sau, mệnh đề nào sai:",Một tam giác vuông khi và chỉ khi nó có một góc bằng tổng hai góc còn lại.,Một tam giác đều thì có hai trung tuyến bằng nhau và một góc bằng 60^0.,Hai tam giác bằng nhau khi và chỉ khi chúng đồng dạng và có một cạnh bằng nhau.,Một tứ giác là hình chữ nhật thì nó có 3 góc vuông.,C,Hai tam giác đồng dạng và có một cặp cạnh tương ứng bằng nhau mới là hai tam giác bằng nhau.
Kí hiệu nào sau đây để chỉ $sqrt{5}$ không phải là số hữu tỉ?,"$sqrt{5} 
eq mathbb{Q}$","$sqrt{5} 
otsubset mathbb{Q}$","$sqrt{5} 
otin mathbb{Q}$",$sqrt{5} in mathbb{Q}$,C,Kí hiệu phần tử a không thuộc tập hợp A là a ∉ A
Xác định tập hợp A = {x ∈ ℕ| x^2 − 2x – 3 = 0} bằng cách liệt kê các phần tử,{−1;3},{1; −3},{1},{3},C,Giải phương trình x^2 − 2x – 3 = 0 ⇔ x = −1 hoặc x = 3. Mà x ∈ ℕ nên x = 3. Vậy A = {3}.
"Một nhóm các học sinh lớp 10H giỏi Toán hoặc giỏi Văn. Trong đó, có 5 bạn giỏi Toán; 7 bạn giỏi Văn và 2 bạn giỏi cả hai môn. Hỏi nhóm đó có bao nhiêu học sinh?",14,10,12,7,B,"Gọi A tập các học sinh giỏi Toán và B là tập các học sinh giỏi Văn. Suy ra |A| = 5, |B| = 7. Tập các học sinh giỏi Toán hoặc giỏi Văn là A ∪ B. Tập các học sinh giỏi cả hai môn là A ∩ B, |A ∩ B| = 2. Ta có |A ∪ B| = |A| + |B| −|A ∩ B| = 5 + 7 – 2 = 10 học sinh."
"Một lớp có 45 học sinh. Mỗi em đều đăng ký chơi ít nhất một trong hai môn: bóng đá và bóng chuyền. Có 35 em đăng ký môn bóng đá, 15 em đăng ký môn bóng chuyền. Hỏi có bao nhiêu em đăng ký cả hai môn bóng đá và bóng chuyền?",30,10,5,25,C,"Gọi A tập các học sinh chơi bóng đá và B là tập các học sinh chơi bóng chuyền. Suy ra |A| = 35, |B| = 15. Tập các học sinh của lớp là A ∪ B, |A ∪ B| = 45. Tập các học sinh giỏi cả hai môn là A ∩ B. Ta có |A ∪ B| = |A| + |B| −|A ∩ B| ⇒ 45 = 35 + 15 − |A ∩ B| ⇒ |A ∩ B| = 5."
"Cho hai tập hợp A = [−1; 3), B = [a; a + 3]. Với giá trị nào của a thì A ∩ B = ∅?",[a ≥ 3; a ≤ −4],[a > 3; a < −4],[a ≥ 3; a < −4],[a > 3; a ≤ −4],C,Ta có A ∩ B = ∅ ⇔ [a ≥ 3; a + 3 < −1] ⇔ [a ≥ 3; a < −4]
Cho tập A = (−∞; 1] và B = (m; +∞). Tất cả các giá trị của m để A ∩ B ≠ ∅ là:,m > 1,m ≤ 1,m < 1,m ≥ 1,C,Để A ∩ B ≠ ∅ ⇔ m < 1.
Cho A = (−1; 5) và B = (m; m+3]. Tìm tất cả các giá trị của m để A ∩ B ≠ ∅ ?,m ≤ −4;,m > 5;,−4 < m < 5;,−4 ≤ m < 5.,C,Ta có: A ∩ B = ∅ ⇔ [m+3 ≤ −1; m ≥ 5] ⇔ [m ≤ −4; m ≥ 5]. Vậy để A ∩ B ≠ ∅ thì −4 < m < 5.
Cho A = (−20; 20) và B = [2m – 4; 2m + 2) (m là tham số). Có tất cả bao nhiêu giá trị nguyên dương của tham số m để B ⊂ A?,9,17,8,10,A,Để B ⊂ A thì −20 < 2m – 4 < 2m +2 ≤ 20 ⇔ 2m – 4 > −20 và 2m + 2 ≤ 20 ⇔ −8 < m ≤ 9. Các giá trị nguyên dương của m là 1; 2; 3; 4; 5; 6; 7; 8; 9. Có 9 giá trị m thỏa mãn bài toán.
"Sử dụng các kí hiệu đoạn, khoảng, nửa khoảng để viết tập hợp A ={x ∈ $\mathbb{R}$| x > 5}.",(−∞; 5);,(−∞; 5];,(5; +∞);,[5;+∞).,C,Ta có: A ={x ∈ $\mathbb{R}$| x > 5} = (5; +∞).
"Sử dụng các kí hiệu đoạn, khoảng, nửa khoảng để viết tập hợp A = {x ∈ ℝ| −3 ≤ x ≤ 5}.",[−3; 5);,[−3; 5];,(−3; 5);,(−3; 5].,B,Ta có: A = {x ∈ ℝ| −3 ≤ x ≤ 5} = [−3; 5].
Cho tập hợp A = [−2; 10] và B = { x ∈ ℝ: 2m ≤ x < m+7}. Số các giá trị nguyên của m để B ⊂ A là:,6,4,5,7,C,Ta có: B = [2m; m+7). Để B⊂ A thì −2 ≤ 2m < m + 7 ≤ 10 ⇔ {2m ≥ −2; 2m < m + 7; m + 7 ≤ 10} ⇔ −1 ≤ m ≤ 3. Các giá trị nguyên của m là −1; 0; 1; 2; 3. Có 5 giá trị của m thỏa mãn bài toán.
"Cho M, N là hai tập hợp khác rỗng. Khi đó",M ⊂ (M ∪ N);,M ⊂ (N \ M);,M ⊂ (M ∩ N);,M ⊂ N.,A,Với mọi x thuộc M thì x cũng thuộc M ∪ N nên M ⊂ (M ∪ N).
