question,A,B,C,D,answer,reasoning
Ta có : = (–5 – 2; 3 – (–4)) = (–7; 7).,,,,,B, = (–5 – 2; 3 – (–4)) = (–7; 7).
"Xét tam giác ABC, có : M là trung điểm AB, N là trung điểm AC, suy ra MN là đường trung bình tam giác ABC, theo tính chất đường trung bình, ta có : MN → = 1/2.",,,,,B,MN → = 1/2.
"Trong hệ tọa độ Oxy cho tam giác ABC có B (9 ; 7), C (11 ; –1). Gọi M, N lần lượt là trung điểm của AB, AC. Tìm tọa độ vectơ MN?",A. (2 ; – 8),B. (1 ; – 4),C. (10 ; 6),D. (5 ; 3),C,"Xét tam giác ABC, có: M là trung điểm AB, N là trung điểm AC. Suy ra MN là đường trung bình tam giác ABC. Theo tính chất đường trung bình, ta có: MN → = 1/2.(2; –8) = (1; –4)."
"Câu 3. Trong hệ tọa độ Oxy cho k→ = (5 ; 2), n→ = (10 ; 8). Tìm tọa độ của vectơ 3k→−2n→.",A. (15; – 10),,C. (– 5; – 10),,C,Ta có: 3k→ = 3(5 ; 2) = (15 ; 6) ; 2n→ = 2(10 ; 8) = (20 ; 16). Mà 3k→−2n→ = (15 – 20 ; 6 – 16) = (– 5; – 10).
"Cho a → = (–2m; 2), b → = (2; –7n). Tìm giá trị của m và n để tọa độ của vectơ a → – b → = (6; –5).",m = 4 và n = – 1,m = – 4 và n = – 1,m = 4 và n = 1,m = – 4 và n = 1,B,"Ta có: a → – b → = (–2m; 2) – (2; –7n) = (–2m –2; 2 + 7n) và a → – b → = (6; –5). Nên ta có: 2 + 7n = –5 và –2m –2 = 6. Từ đó, ta có m = – 4 và n = – 1."
Vectơ nào dưới đây là một vectơ chỉ phương của đường thẳng đi qua hai điểm A(– 3; 2) và B(1; 4).,A. (1; 3);,B. (2; 1);,C. (1; 3);,D. (3; 1);,B,Đường thẳng đi qua hai điểm A(– 3; 2) và B(1; 4) có VTCP là: (4; 2) = 2(2; 1) hay (2; 1).
Khoảng cách từ giao điểm của đường thẳng x – 3y + 4 = 0 và 2x + 3y – 1 = 0 đến đường thẳng 3x + y + 3 = 0 bằng:,2√10,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msqrt><mn>10</mn></msqrt><mn>5</mn></mfrac></math>","<math xmlns=""http://www.w3.org/1998/Math/MathML""><mfrac><msqrt><mn>10</mn></msqrt><mn>5</mn></mfrac></math>",2,C,"+) Giao điểm của hai đường thẳng: Ta có: <img alt=""30 Bài tập trắc nghiệm Toán 10 Chương 7 Cánh diều có lời giải"" src=""https://vietjack.com/toan-10-cd/images/trac-nghiem-bai-tap-cuoi-chuong-7-152028.PNG"" style=""box-sizing: border-box; max-width: 100%; vertical-align: middle; border: 0px; display: inline; margin-left: auto; margin-right: auto; padding-bottom: 4px;"">, vậy điểm A (–1; 1) là giao điểm của hai đường thẳng +) Khoảng cách từ A đến <math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>∆</mo></math>: 3x + y + 3 = 0:"
"Trong hệ tọa độ Oxy cho ba điểm A(3; 5), B(1; 2), C(5; 2) và D(m ; n) . Tính m + n để ACDB là hình bình hành.",m + n = 3,m + n = – 1,m + n = 2,m + n = 4,C,Ta có: AC→ = 2; BD→ = m – 1; n – 2. Để ACDB là hình bình hành thì AC→ = BD→ ⇒ m + n = 3 + (– 1) = 2.
"Trong hệ tọa độ Oxy cho tam giác ABC có A (– 2 + x ; 2), B (3 ; 5 + 2y), C(x ; 3 – y). Tìm tổng 2x + y với x, y để O (0 ; 0) là trọng tâm tam giác ABC?",– 7,– 2,– 11,– 7/10,C,"Vì O là trọng tâm tam giác ABC nên, ta có : 2x + y = 2. – 11"
Vectơ nào dưới đây là một vectơ pháp tuyến của đường thẳng đi qua hai điểm A(a; 0) và B(0; b)?,a; -b,a; b,-b; a,b; a,A,Ta có: AB→ = -a; b. Đường thẳng AB có VTCP AB→ = -a; b hoặc u→ = -AB→ = a; -b. Đường thẳng AB có VTPT là n→ = b; a.
