question,A,B,C,D,answer,reasoning
,,,,,C,Ta có: $\overline{ABC} = 180^0 - (\overline{BAC} + \overline{ACB}) = 75^\circ = \overline{ACB}$. Suy ra tam giác ABC cân tại A nên $AB = AC = 4$. Diện tích tam giác ABC là $S_{\Delta ABC} = \frac{1}{2} AB . AC sin \overline{BAC} = 4$ (đơn vị diện tích)
,,,,,B,
"Cho tam giác ABC, có bao nhiêu vectơ khác vectơ - không, có điểm đầu và điểm cuối là các đỉnh A, B, C.",3,6,4,9,B,"Đó là các vectơ: \overrightarrow{AB}, \overrightarrow{BA}, \overrightarrow{BC}, \overrightarrow{CB}, \overrightarrow{CA}, \overrightarrow{AC}."
"Cho lục giác đều ABCDEF tâm O. Số các vectơ khác vectơ - không, cùng phương với $overrightarrow{OC}$ có điểm đầu và điểm cuối là các đỉnh của lục giác là",4,6,7,9,B,"Đó là các vectơ: $overrightarrow{AB}, overrightarrow{BA}, overrightarrow{DE}, overrightarrow{ED}, overrightarrow{FC}, overrightarrow{CF}$."
"Tam giác ABC có $AB=5$, $BC=7$, $CA=8$. Số đo góc $A$ bằng:",30°,45°,60°,90°,C,"Theo định lí hàm cosin, ta có: $cos A = \frac{AB^2 + AC^2 - BC^2}{2.AB.AC} = \frac{5^2 + 8^2 - 7^2}{2.5.8} = \frac{1}{2}$. Do đó, $A = 60°$."
"Tam giác ABC có $AB = sqrt{2}$, $AC = sqrt{3}$ và $C = 45^{circ}$. Tính độ dài cạnh BC.",$BC = sqrt{5}$,$BC = rac{sqrt{6}+sqrt{2}}{2}$,$BC = rac{sqrt{6}-sqrt{2}}{2}$,$BC = sqrt{6}$,B,"Theo định lí hàm cosin, ta có: $AB^2 = AC^2 + BC^2 - 2.ACB.C. cos C^{circ}$. $⇒ BC^2 - sqrt{6}.BC + 1 = 0$. $⇒ BC = rac{sqrt{6}+sqrt{2}}{2}$."
Cho hình vuông ABCD. Khẳng định nào sau đây đúng?,\overrightarrow{AC} = \overrightarrow{BD};,\overrightarrow{AB} = \overrightarrow{CD};,,"Hai vectơ \overrightarrow{AB}, \overrightarrow{AC} cùng hướng.",C,Vì hình vuông ABCD có các cạnh bằng nhau và đối diện song song nên \overrightarrow{AB} = \overrightarrow{CD} và \overrightarrow{AD} = \overrightarrow{BC}.
Cho $\overrightarrow{a}$ và $\overrightarrow{b}$ là các vectơ khác $\overrightarrow{0}$ với $\overrightarrow{a}$ là vectơ đối của $\overrightarrow{b}$. Khẳng định nào sau đây sai?,"Hai vectơ $\overrightarrow{a}$, $\overrightarrow{b}$ cùng phương;","Hai vectơ $\overrightarrow{a}$, $\overrightarrow{b}$ ngược hướng;","Hai vectơ $\overrightarrow{a}$, $\overrightarrow{b}$ cùng độ dài;","Hai vectơ $\overrightarrow{a}$, $\overrightarrow{b}$ chung điểm đầu.",D,"$\overrightarrow{a}$ và $\overrightarrow{b}$ cùng phương, cùng độ dài và ngược hướng nhau."
"Cho tứ giác ABCD. Trên cạnh AB, CD lấy lần lượt các điểm M, N sao cho 3AM = 2AB và 3DN = 2DC. Tính vectơ MN theo hai vectơ AD, BC.",\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{1}{3}\overrightarrow{BC},\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} - \frac{2}{3}\overrightarrow{BC},\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{2}{3}\overrightarrow{BC},\overrightarrow{MN} = \frac{2}{3}\overrightarrow{AD} + \frac{1}{3}\overrightarrow{BC},C,\overrightarrow{MN} = \frac{1}{3}\overrightarrow{AD} + \frac{2}{3}\overrightarrow{BC}
"Cho hình chữ nhật ABCD, hai đường đường chéo AC và BD cắt nhau tại O. Tính hiệu \(\overrightarrow{AD} - \overrightarrow{AB}\):",\(\overrightarrow{AD}\),\(\overrightarrow{CB}\),\(\overrightarrow{AB}\),\(\overrightarrow{BD}\),D,"Áp dụng quy tắc 3 điểm cho A, B, D ta có: \(\overrightarrow{AD} - \overrightarrow{AB} = \overrightarrow{BD}\)."
Cho hình bình hành ABCD có M là trung điểm của AB. Khẳng định nào sau đây đúng ?,DM = 1/2 * (DC + BC),DM = 1/2 * (DC - BC),DM = 1/2 * (DC - BC),DM = 1/2 * (DC + BC),C,Xét các đáp án ta thấy cần phân tích vectơ DM theo hai vectơ DC và BC. Vì ABCD là hình bình hành nên DB = DA + DC. Và M là trung điểm AB nên 2 * DM = DA + DB = -2 * BC + DC suy ra DM = 1/2 * (DC - BC)
"Cho tứ giác ABCD. Gọi M, N, P, Q lần lượt là trung điểm của AB, BC, CD, DA. Khẳng định nào sau đây sai?",\overrightarrow{MN} = \overrightarrow{QP}; \overrightarrow{NP} = \overrightarrow{QM},,\overrightarrow{MN} = \overrightarrow{PQ}; \overrightarrow{NP} = \overrightarrow{MQ},,D,Ta có: \overrightarrow{MN} = \overrightarrow{PQ}; \overrightarrow{NP} = \overrightarrow{MQ} (do cùng song song và bằng \frac{1}{2}AC). Do đó MNPQ là hình bình hành. Vì MNPQ là hình bình hành nên \overrightarrow{MN} = \overrightarrow{PQ}; \overrightarrow{NP} = \overrightarrow{MQ}.
