question,A,B,C,D,answer,reasoning
Vậy cặp số (2; 3) là nghiệm của bất phương trình x – y < 0.,2.2 – 3.3 – 1 < 0 không thoả mãn bất phương trình;,2 – 3 < 0 thoả mãn bất phương trình;,4.2 – 3.3 < 0 không thoả mãn bất phương trình;,2 – 3.3 + 7 = 0 không thoả mãn bất phương trình;,B,2 – 3 < 0 thoả mãn bất phương trình;
Hiển thị đáp án,,,"2x - 5y - 1 > 0, 2x + y + 5 > 0, x + y + 1 < 0",,C,Xét điểm (0; 0) ta có 2.0 – 5. 0 – 1 < 0 không thoả mãn bất phương trình 2x – 5y – 1 < 0. Vậy (0; 0) không là nghiệm của hệ bất phương trình. Xét điểm (1; 0) ta có 1 + 0 + 1 > 0 không thoả mãn bất phương trình x + y + 1 < 0. Vậy điểm (1; 0) không là nghiệm của hệ bất phương trình. Xét điểm (0; – 2) ta có: 2.0 – 5.(– 2) – 1 > 0 thoả mãn bất phương trình 2x – 5y – 1 > 0; 2.0 + (– 2) + 5 > 0 thoả mãn bất phương trình 2x + y + 5 > 0; 0 + (– 2) + 1 < 0 thoả mãn bất phương trình x + y + 1 < 0. Vậy điểm (0; – 2) là nghiệm của hệ bất phương trình. Xét điểm (0; 2) ta có 0 + 2 + 1 > 0 không thoả mãn bất phương trình x + y + 1 < 0. Vậy điểm (0; 2) không là nghiệm của hệ bất phương trình.
"Điểm nào sau đây thuộc miền nghiệm của hệ bất phương trình 2x – 5y – 1 > 0, 2x + y + 5 > 0, x + y + 1 < 0?",0; 0,1; 0,0; – 2,0; 2,C,Xét điểm (0; 0) ta có 2.0 – 5.0 – 1 < 0 không thoả mãn bất phương trình 2x – 5y – 1 > 0. Vậy (0; 0) không là nghiệm của hệ bất phương trình. Xét điểm (1; 0) ta có 1 + 0 + 1 > 0 không thoả mãn bất phương trình x + y + 1 < 0. Vậy điểm (1; 0) không là nghiệm của hệ bất phương trình. Xét điểm (0; – 2) ta có: 2.0 – 5.(– 2) – 1 > 0 thoả mãn bất phương trình 2x – 5y – 1 > 0; 2.0 + (– 2) + 5 > 0 thoả mãn bất phương trình 2x + y + 5 > 0; 0 + (– 2) + 1 < 0 thoả mãn bất phương trình x + y + 1 < 0. Vậy điểm (0; – 2) là nghiệm của hệ bất phương trình.
"Trong các cặp số sau đây, cặp nào không là nghiệm của bất phương trình 2x + y < 1?",2x + 0 < 1,2.3 + (– 7) < 1,2.(– 2) + 1 < 1,2.0 + 1 = 1,D,Xét đáp án D ta có: 2.0 + 1 = 1 không thoả mãn bất phương trình. Vậy điểm (0; 1) không là nghiệm của bất phương trình.
Phần nửa mặt phẳng tô đậm (không kể đường thẳng d) là miền nghiệm của bất phương trình nào?,x - y > -2,x - y > 2,x - y < -2,x + y < 2,A,"Từ đồ thị ta có đường thẳng d đi qua điểm (– 2; 0) và (0; 2). Giả sử đường thẳng d có phương trình y = ax + b. Ta có hệ 0 = a(-2) + b và 2 = a(0) + b ⇔ a = 1 và b = 2 ⇒ y = x + 2. Vậy phương trình đường thẳng d: x - y = -2. Ta có: 0 - 0 = 0 > -2. Do đó, (0; 0) thuộc miền nghiệm của bất phương trình đã cho. Vậy bất phương trình có dạng x - y > -2."
Phần nửa mặt phẳng tô đậm (không kể đường thẳng d) là miền nghiệm của bất phương trình nào?,x – y > – 2,2x + y ≤ 2,2x + y ≥ – 2,x + 2y ≥ 2,D,Từ đồ thị ta có đường thẳng d đi qua điểm (– 2; 0) và (0; 2). Giả sử đường thẳng d có phương trình y = ax + b. Ta có hệ ... ⇔ x + 2y = 2. Thay điểm O(0; 0) và phương trình đường thẳng ta có 0 + 2.0 = 0 < 2. Ta thấy (0; 0) không thuộc miền nghiệm của bất phương trình đã cho. Vậy bất phương trình có dạng x + 2y ≥ 2.
Phần nửa mặt phẳng không bị gạch (kể cả đường thẳng d) trong hình dưới đây là miền nghiệm của bất phương trình nào?,x + 2y ≥ – 2,2x + y ≤ 2,2x + y ≥ – 2,x + 2y ≥ 2,D,Miền nghiệm là phần không bị gạch trong hình dưới đây (kể cả bờ).
"Giá trị nhỏ nhất của biểu thức F = y – x trên miền xác định bởi hệ <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced close="""" open=""{""><mtable equalcolumns=""true"" equalrows=""true""><mtr><mtd><mn>2</mn><mi>x</mi><mo>+</mo><mi>y</mi><mo>≤</mo><mn>2</mn></mtd></mtr><mtr><mtd><mi>x</mi><mo>−</mo><mi>y</mi><mo>≤</mo><mn>2</mn></mtd></mtr><mtr><mtd><mn>5</mn><mi>x</mi><mo>+</mo><mi>y</mi><mo>≥</mo><mo>−</mo><mn>4</mn></mtd></mtr></mtable></mfenced></math> là",- 3,0,- 2,8,C,"Giá trị nhỏ nhất của biểu thức F = y – x chỉ đạt được tại các điểm A(- 2; 6), B(1; 1); C(4; 2)."
Phần không bị gạch chéo (không kể bờ) trong hình dưới đây biểu diễn miền nghiệm của hệ bất phương trình nào trong các hệ bất phương trình sau,2x + y < 1,2x + y > 1,2x + y < 1,2x + y > 1,A,"Giả sử phương trình đường thẳng d1: y = ax + b. Dễ thấy đường thẳng d1 đi qua hai điểm (0 ; 1) và <math xmlns=""http://www.w3.org/1998/Math/MathML""><mfenced><mrow><mfrac><mn>1</mn><mn>2</mn></mfrac><mo>;</mo><mn>0</mn></mrow></mfenced></math>. Ta có hệ sau... (rest of the reasoning)"
Phần không bị gạch chéo (không kể bờ) trong hình dưới đây biểu diễn miền nghiệm của hệ bất phương trình nào trong các hệ bất phương trình sau,2x + y < 1,x - y ≥ 1,x + y ≤ 1,x + y ≥ 1,C,"Giả sử phương trình đường thẳng d1: y = ax + b. Dễ thấy đường thẳng d1 đi qua hai điểm (0 ; 1) và (1; 0). Ta có hệ sau... Xét điểm O(0 ;0) thay vào phương trình đường thẳng ta có 0 + 0 = 0 < 1. Ta thấy điểm O(0; 0) thuộc miền nghiệm của bất phương trình, vậy bất phương trình có dạng x + y ≤ 1, (kể cả bờ)."
Phần không bị gạch (kể cả bờ) trong hình dưới đây biểu diễn miền nghiệm của bất phương trình,x + 2y > 2,x + 2y > 1,x + 2y < 2,x + 2y < 1,A,"Giả sử phương trình đường thẳng d1: y = ax + b. Dễ thấy đường thẳng d1 đi qua hai điểm (0 ; 1) và (2; 0). Ta có hệ sau: 1 = a.0 + b; 0 = a.2 + b ⇔ a = -1/2; b = 1. Vậy phương trình d1: y = -1/2x + 1 ⇔ x + 2y = 2. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 0 + 2.0 = 0 < 2. Ta thấy điểm O(0; 0) không thuộc miền nghiệm của bất phương trình, vậy bất phương trình có dạng x + 2y > 2, (không kể bờ)."
Phần không bị gạch (không kể bờ) trong hình dưới đây biểu diễn miền nghiệm của bất phương trình,x + 2y > 2,x + 2y > 1,x + 2y < 2,x + 2y < 1,A,"Giả sử phương trình đường thẳng d1: y = -1/2x + 1 ⇔ x + 2y = 2. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 0 + 2.0 = 0 < 2. Ta thấy điểm O(0; 0) không thuộc miền nghiệm của bất phương trình, vậy bất phương trình có dạng x + 2y > 2, (không kể bờ)."
"Trong các cặp số sau đây, cặp nào không là nghiệm của bất phương trình",– 5; 0,– 2; 1,1; – 3,0; 0,B,"Xét đáp án A: – 5 – 4.0 + 5 = 0, vậy (– 5; 0) là nghiệm của bất phương trình, đáp án A sai. Đáp án B: – 2 – 4.1 + 5 = – 1 < 0, vậy (– 2; 1) không là nghiệm của bất phương trình, đáp án B đúng. Đáp án C: 1 – 4.(– 3) + 5 = 18 > 0, vậy (1; – 3) là nghiệm của bất phương trình, đáp án C sai. Đáp án D: 0 – 4.0 + 5 = 5 > 0, vậy (0; 0) là nghiệm của bất phương trình, đáp án D đúng."
"Câu 17. Trong các cặp số sau đây, cặp nào không là nghiệm của bất phương trình x – 4y + 5 ≥ 0",– 5; 0,– 2; 1,1; – 3,0; 0,B,"Xét đáp án A: – 5 – 4.0 + 5 = 0, vậy (– 5; 0) là nghiệm của bất phương trình, đáp án A sai. Đáp án B: – 2 – 4.1 + 5 = – 1 < 0, vậy (– 2; 1) không là nghiệm của bất phương trình, đáp án B đúng. Đáp án C: 1 – 4.( – 3) + 5 = 18 > 0, vậy (1; – 3) là nghiệm của bất phương trình, đáp án C sai. Đáp án D: 0 – 4.0 + 5 = 5 > 0, vậy (0; 0) là nghiệm của bất phương trình, đáp án D sai."
Câu 18. Nửa mặt phẳng là miền nghiệm của bất phương trình – x + 2 + 2(y – 2) < 2(1 – x) không chứa điểm nào trong các điểm sau:,0; 0,1; 1,4; 2,1; – 1,C,"Ta có: – x + 2 + 2y – 4 < 2 – 2x ⇔ x + 2y < 4. Xét đáp án A: 0 + 2.0 = 0 < 4, thoả mãn bất phương trình x + 2y < 4, vậy điểm (0; 0) thuộc miền nghiệm của bất phương trình, đáp án A sai. Đáp án B: 1 + 2.1 = 3 < 4, thoả mãn bất phương trình x + 2y < 4, vậy điểm (1; 1) thuộc miền nghiệm của bất phương trình, đáp án B sai. Đáp án C: 4 + 2.2 = 8 > 4, không thoả mãn bất phương trình x + 2y < 4, vậy điểm (4; 2) không thuộc miền nghiệm của bất phương trình, đáp án C đúng. Đáp án D: 1 + 2.(– 1) = – 1 < 4, thoả mãn bất phương trình x + 2y < 4, vậy điểm (1; – 1) thuộc miền nghiệm của bất phương trình, đáp án D sai. Vậy đáp án đúng là C."
"Giá trị nhỏ nhất của biểu thức F(x; y) = y – x trên miền xác định bởi hệ: y – 2x ≤ 2, 2y – x ≥ 4, x + y ≤ 5 là:","min F(x; y) = 1 khi x = 2, y = 3",,,,A,"Miền nghiệm của hệ là tam giác ABC với A(1; 4), B(0; 2), C(2; 3). Ta tính giá trị của F(x; y) = y – x tại các giao điểm: F(1; 4) = 3, F(0; 2) = 2, F(2; 3) = 1. Vậy min F(x; y) = 1 khi x = 2, y = 3."
"Giá trị nhỏ nhất của biểu thức F(x; y) = y – x trên miền xác định bởi hệ: y – 2x ≤ 2, 2y – x ≥ 4, x + y ≤ 5 là:","min F(x; y) = 1 khi x = 2, y = 3",,"min F(x; y) = 2 khi x = 0, y = 2","min F(x; y) = 7 khi x = 6, y = – 1",C,"Ta tính giá trị của F(x; y) = y – x tại các giao điểm: F(1; 4) = 4 – 1 = 3, F(0; 2) = 2 – 0 = 2, F(2; 3) = 3 – 2 = 1. Vậy min F(x; y) = 1 khi x = 2, y = 3."
"Giá trị lớn nhất của biết thức F(x; y) = x + 2y với điều kiện 0 ≤ y ≤ 4, x ≥ 0 là",6,8,10,12,C,Vậy giá trị lớn nhất của biết thức F(x; y) = x + 2y bằng 10.
"Điểm nào sau đây thuộc miền nghiệm của hệ bất phương trình 2x - 5y - 1 > 0, 2x + y + 5 > 0, x + y + 1 < 0?",0; 0,1; 0,0; -2,0; 2,C,"Xét đáp án A ta có: 2.0 - 5.0 - 1 < 0, đáp án A không thoả mãn hệ bất phương trình. Xét đáp án B ta có: 2.1 - 5.0 - 1 > 0, đáp án B không thoả mãn hệ bất phương trình. Xét đáp án C ta có: 2.0 - 5(-2) - 1 > 0, 2.0 + (-2) + 5 > 0, 0 + (-2) + 1 < 0, đáp án C thoả mãn hệ bất phương trình. Xét đáp án D ta có: 2.0 - 5.2 - 1 < 0, 2.0 + 2 + 5 > 0, 0 + 2 + 1 > 0, đáp án D không thoả mãn hệ bất phương trình. Vậy đáp án đúng là C."
Phần nữa mặt phẳng không bị gạch (không kể đường thẳng d) ở hình dưới đây là miền nghiệm của bất phương trình nào?,2x – y > – 4,2x – y > 2,– x + 2y > 2,– x + 2y > – 4,D,Giả sử đường thẳng (d) chia mặt phẳng tọa độ thành hai nửa mặt phẳng có dạng: y = ax + b. Dễ dàng nhận thấy đường thẳng (d) đi qua hai điểm có tọa độ là (4; 0) và (0; – 2). Ta có hệ phương trình... (removed for brevity) ...Vậy đường thẳng có phương trình – x + 2y = – 4. Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có: – 0 + 2.0 = 0 > – 4. Vì O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy phần nửa mặt phẳng không bị gạch biểu diễn miền nghiệm của bất phương trình – x + 2y > – 4 Đáp án D đúng.
Phần không gạch biểu diễn miền nghiệm của hệ bất phương trình,"x - y ≤ 2, 3x + 5y ≤ 15, x ≥ 0","x - y ≤ 2, 3x + 5y ≤ 15, x ≥ 0","x - y ≥ -2, 3x + 5y ≤ 15, x ≥ 0","x - y ≤ 2, 3x + 5y ≥ 15, x ≥ 0",B,"Dễ thấy đường thẳng d1 đi qua hai điểm (0; 3) và (5; 0). Giả sử d1 có phương trình y = ax + b. Ta có hệ 3 = a.0 + b, 0 = 5.a + b ⇔ a = -3/5, b = 3. Vậy phương trình đường thẳng d1: 3x + 5y = 15. Điểm O(0; 0) thuộc vào miền nghiệm của hệ bất phương trình. Thay O(0; 0) vào phương trình đường thẳng ta có 3.0 + 5.0 = 0 < 15. Ta có bất phương trình 3x + 5y ≤ 15. Dễ thấy đường thẳng d2 đi qua hai điểm (0; -2) và (2; 0). Giả sử d2 có phương trình y = ax + b. Ta có hệ -2 = a.0 + b, 0 = 2.a + b ⇔ a = 1, b = -2. Vậy phương trình đường thẳng d2: y - x = -2. Điểm O(0; 0) thuộc vào miền nghiệm của hệ bất phương trình. Thay O(0; 0) vào phương trình đường thẳng ta có 0 - 0 = 0 > -2. Ta có bất phương trình y - x ≥ -2 ⇔ x - y ≤ 2. Ta có miền nghiệm là nửa mặt phẳng nằm bên phải trục tung (kể cả trục tung) nên có bất phương trình x ≥ 0. Phần không bị gạch biểu diễn miền nghiệm của hệ bất phương trình x - y ≤ 2, 3x + 5y ≤ 15, x ≥ 0."
Phần không bị gạch trong hình vẽ nào trong các hình sau biểu diễn miền nghiệm của hệ bất phương trình x + y - 2 < 0 và 2x - y + 2 > 0?,A,B,C,D,A,Vẽ đường thẳng d2: 2x - y + 2 = 0. Ta có đường thẳng đi qua hai điểm (0; 2) và (– 1; 0). Xét điểm O(0; 0) thay vào phương trình đường thẳng ta có 2.0 – 0 + 2 > 0 thoả mãn bất phương trình 2x - y + 2 > 0. Vậy điểm O(0; 0) thuộc miền nghiệm của bất phương trình. Vậy miền nghiệm là phần nửa mặt phẳng được chia bởi đường thẳng d2 và chứa gốc toạ độ O(0; 0).
Phần không bị gạch trong hình vẽ nào trong các hình sau biểu diễn miền nghiệm của hệ bất phương trình x + y ≤ 2?,,,,,A,Xét đường thẳng x + y – 2 = 0 đi qua 2 điểm A(2; 0) và B(0; 2). Lấy điểm O(0; 0) ta có: 0 + 0 = 0 &lt; 2. Vậy miền nghiệm của bất phương trình x + y ≤ 2 là phần tô đậm ở đáp án A.
